iter	MultiClass
0	1.827811702
1	1.609970708
2	1.469926881
3	1.34233812
4	1.247966757
5	1.182148398
6	1.110039212
7	1.044411445
8	1.001945312
9	0.9517206156
10	0.9182983432
11	0.8747317931
12	0.8449802715
13	0.8054943516
14	0.7716357218
15	0.7416036808
16	0.7201215424
17	0.6889240607
18	0.6726359899
19	0.6499799351
20	0.6341458936
21	0.6123852162
22	0.6023160663
23	0.5837691191
24	0.5710731035
25	0.5555748285
26	0.54213154
27	0.5318699312
28	0.5177813667
29	0.5081348924
30	0.4965486787
31	0.4829706383
32	0.4726412409
33	0.4623647064
34	0.4536173309
35	0.4455671582
36	0.4371590178
37	0.4294608542
38	0.420379723
39	0.4158653598
40	0.4080137745
41	0.4020794776
42	0.3952581647
43	0.3893674603
44	0.3829988013
45	0.3779368179
46	0.3716051716
47	0.368380096
48	0.3616047332
49	0.357426763
50	0.3517944548
51	0.3458250302
52	0.3421569171
53	0.3376922653
54	0.3340457232
55	0.3312756582
56	0.3284984204
57	0.3238333851
58	0.3195117638
59	0.3152169129
60	0.3129414971
61	0.3090436857
62	0.3057813359
63	0.3020215777
64	0.300206219
65	0.2980312618
66	0.2953207015
67	0.2930925857
68	0.2910424527
69	0.287935987
70	0.2856740292
71	0.2838082532
72	0.2808638947
73	0.279528447
74	0.2762808881
75	0.2748192608
76	0.2733908107
77	0.27181527
78	0.2690640582
79	0.266398777
80	0.2639748446
81	0.2620704116
82	0.2597969976
83	0.2577316556
84	0.2556053815
85	0.253615038
86	0.2515054927
87	0.2501131051
88	0.2492877304
89	0.2468954284
90	0.2452563851
91	0.2437386482
92	0.2418757095
93	0.2390682417
94	0.237790315
95	0.2363367638
96	0.234381004
97	0.2324844352
98	0.2304011834
99	0.2287833403
100	0.2271463376
101	0.2259206488
102	0.2243124738
103	0.2231020259
104	0.2207490708
105	0.219225047
106	0.2181993622
107	0.2165554234
108	0.2152403323
109	0.2145383119
110	0.2130595093
111	0.2122251973
112	0.2111671371
113	0.2102096933
114	0.209314139
115	0.20865778
116	0.2073126053
117	0.2065519591
118	0.2057603531
119	0.2044902192
120	0.2036034136
121	0.2030049883
122	0.2019896868
123	0.2009539623
124	0.2000945187
125	0.1994566885
126	0.1985930687
127	0.197179063
128	0.1962681217
129	0.1953562641
130	0.1946673825
131	0.1938839924
132	0.1925512865
133	0.1920763547
134	0.1907664725
135	0.18994698
136	0.189472496
137	0.1883712093
138	0.1881435901
139	0.1870738344
140	0.1866346273
141	0.185709005
142	0.1848839158
143	0.1841030881
144	0.1831090775
145	0.1829159275
146	0.1822864841
147	0.1818591062
148	0.1807625771
149	0.1803377983
150	0.1797131276
151	0.1793588905
152	0.1790023579
153	0.1781541209
154	0.1778190408
155	0.1770733199
156	0.176298816
157	0.1758455864
158	0.1750808342
159	0.1745937902
160	0.1740046575
161	0.1735723396
162	0.1731440312
163	0.1725835799
164	0.1725674674
165	0.172393978
166	0.1717021094
167	0.1709957401
168	0.1702475332
169	0.17004489
170	0.169368097
171	0.1686265699
172	0.1680136769
173	0.1667354191
174	0.1662539063
175	0.1660609381
176	0.1656299985
177	0.1653860756
178	0.1653758762
179	0.1649169605
180	0.1647972048
181	0.1642234299
182	0.1638781644
183	0.1635700907
184	0.1630786752
185	0.1622743902
186	0.1621313697
187	0.1615011161
188	0.1608826932
189	0.1605639995
190	0.1600466783
191	0.1595973356
192	0.1590960336
193	0.1590948457
194	0.1586802671
195	0.1580552462
196	0.1576414885
197	0.1569751232
198	0.1566637106
199	0.1564499147
200	0.1558365622
201	0.1552178688
202	0.1549950108
203	0.1546231815
204	0.154391216
205	0.154104045
206	0.1541027728
207	0.1538278845
208	0.1532644134
209	0.1532514807
210	0.1531664554
211	0.152837174
212	0.15254024
213	0.1521412948
214	0.1517862139
215	0.1517848443
216	0.1515669961
217	0.1513644006
218	0.1510046939
219	0.1505847586
220	0.1502928608
221	0.1496744065
222	0.1491168115
223	0.1488484724
224	0.1487453849
225	0.1481168592
226	0.1477300094
227	0.1474063894
228	0.147242218
229	0.1470057828
230	0.1467125396
231	0.1465402605
232	0.1461770912
233	0.1460586561
234	0.1459689086
235	0.1455748566
236	0.1453495186
237	0.1452551283
238	0.1449809418
239	0.1447952347
240	0.1445815537
241	0.1440206486
242	0.143615962
243	0.1434648869
244	0.1432900006
245	0.1426999273
246	0.1425232987
247	0.142191814
248	0.1420125193
249	0.1418236534
250	0.1416539038
251	0.1416377457
252	0.1409710377
253	0.1403608895
254	0.1401720359
255	0.1399272365
256	0.1398722051
257	0.1394364728
258	0.1387622741
259	0.1386477677
260	0.1382832643
261	0.1380469762
262	0.1375231608
263	0.1373141959
264	0.137310168
265	0.1370709843
266	0.1369823015
267	0.1366659489
268	0.1365451569
269	0.1361599887
270	0.1359552668
271	0.1359541971
272	0.1356375676
273	0.1353551759
274	0.1352909741
275	0.135071756
276	0.1347476251
277	0.1347462011
278	0.1346414091
279	0.1343434332
280	0.1342090168
281	0.1342079392
282	0.1337428569
283	0.1337419513
284	0.1336624926
285	0.1336617517
286	0.1333498961
287	0.133152638
288	0.1330315916
289	0.1327430217
