iter	Passed	Remaining
0	138	40044
1	279	40266
2	416	39866
3	556	39779
4	696	39720
5	837	39629
6	975	39431
7	1112	39198
8	1250	39057
9	1396	39107
10	1532	38858
11	1671	38734
12	1818	38748
13	1966	38766
14	2106	38613
15	2248	38506
16	2392	38421
17	2536	38330
18	2671	38106
19	2809	37929
20	2947	37756
21	3089	37632
22	3229	37486
23	3372	37378
24	3510	37216
25	3648	37045
26	3790	36925
27	3931	36784
28	4072	36652
29	4215	36534
30	4356	36395
31	4496	36249
32	4635	36101
33	4775	35955
34	4915	35809
35	5055	35667
36	5195	35526
37	5335	35379
38	5475	35236
39	5614	35092
40	5749	34918
41	5888	34768
42	6028	34631
43	6169	34493
44	6309	34351
45	6447	34200
46	6582	34031
47	6722	33890
48	6878	33830
49	7041	33797
50	7194	33713
51	7343	33611
52	7482	33461
53	7639	33386
54	7779	33239
55	7922	33105
56	8077	33017
57	8217	32870
58	8357	32721
59	8499	32580
60	8636	32422
61	8777	32277
62	8917	32131
63	9054	31975
64	9191	31817
65	9333	31676
66	9474	31534
67	9614	31389
68	9757	31251
69	9896	31104
70	10034	30951
71	10178	30818
72	10316	30667
73	10478	30586
74	10657	30552
75	10836	30512
76	11013	30466
77	11187	30407
78	11336	30277
79	11479	30134
80	11630	30009
81	11775	29870
82	11912	29708
83	12047	29545
84	12188	29395
85	12329	29246
86	12468	29093
87	12605	28936
88	12745	28785
89	12886	28635
90	13024	28482
91	13162	28328
92	13302	28178
93	13441	28027
94	13581	27877
95	13719	27725
96	13857	27571
97	13995	27419
98	14134	27268
99	14275	27122
100	14429	27001
101	14576	26865
102	14712	26710
103	14851	26561
104	14986	26404
105	15125	26254
106	15263	26105
107	15401	25953
108	15538	25802
109	15685	25667
110	15821	25513
111	15959	25364
112	16100	25219
113	16239	25072
114	16377	24921
115	16520	24780
116	16659	24632
117	16797	24484
118	16933	24333
119	17071	24183
120	17207	24033
121	17347	23888
122	17483	23737
123	17618	23586
124	17760	23444
125	17898	23296
126	18032	23144
127	18174	23001
128	18313	22856
129	18451	22709
130	18590	22563
131	18729	22418
132	18866	22270
133	19006	22126
134	19140	21976
135	19277	21829
136	19415	21682
137	19554	21538
138	19694	21394
139	19832	21249
140	19971	21104
141	20110	20960
142	20247	20813
143	20387	20670
144	20523	20523
145	20663	20380
146	20801	20235
147	20943	20094
148	21083	19951
149	21218	19804
150	21361	19663
151	21501	19521
152	21640	19377
153	21779	19234
154	21924	19095
155	22065	18953
156	22203	18809
157	22342	18666
158	22480	18521
159	22617	18377
160	22757	18234
161	22894	18089
162	23034	17947
163	23172	17802
164	23312	17660
165	23451	17517
166	23588	17373
167	23728	17231
168	23868	17089
169	24009	16947
170	24152	16808
171	24302	16672
172	24439	16528
173	24583	16388
174	24721	16245
175	24859	16101
176	25002	15962
177	25138	15817
178	25277	15674
179	25422	15535
180	25560	15392
181	25700	15250
182	25844	15111
183	25984	14969
184	26120	14825
185	26264	14685
186	26404	14543
187	26542	14400
188	26683	14259
189	26819	14115
190	26957	13972
191	27095	13830
192	27234	13688
193	27375	13546
194	27512	13403
195	27650	13260
196	27789	13118
197	27931	12978
198	28065	12834
199	28208	12693
200	28345	12551
201	28484	12409
202	28623	12267
203	28762	12125
204	28902	11983
205	29041	11842
206	29178	11699
207	29325	11561
208	29508	11436
209	29688	11309
210	29857	11178
211	29995	11036
212	30136	10894
213	30277	10752
214	30416	10610
215	30558	10468
216	30698	10327
217	30831	10182
218	30974	10042
219	31115	9900
220	31255	9758
221	31392	9615
222	31531	9473
223	31670	9331
224	31805	9188
225	31943	9046
226	32080	8903
227	32214	8760
228	32353	8618
229	32489	8475
230	32628	8333
231	32768	8192
232	32910	8051
233	33051	7909
234	33190	7768
235	33326	7625
236	33463	7483
237	33604	7342
238	33742	7200
239	33881	7058
240	34024	6917
241	34162	6776
242	34298	6633
243	34438	6492
244	34575	6350
245	34714	6209
246	34854	6067
247	34996	5926
248	35138	5785
249	35277	5644
250	35417	5503
251	35560	5362
252	35702	5221
253	35846	5080
254	35987	4939
255	36132	4798
256	36277	4658
257	36419	4517
258	36562	4376
259	36705	4235
260	36846	4094
261	36989	3953
262	37133	3812
263	37273	3670
264	37411	3529
265	37550	3387
266	37687	3246
267	37828	3105
268	37974	2964
269	38122	2823
270	38271	2683
271	38413	2542
272	38559	2401
273	38699	2259
274	38838	2118
275	38981	1977
276	39122	1836
277	39266	1694
278	39406	1553
279	39550	1412
280	39696	1271
281	39839	1130
282	39983	988
283	40125	847
284	40266	706
285	40405	565
286	40551	423
287	40692	282
288	40836	141
289	40978	0
